매물코드,지역코드,지역명,매물정보,매물방식,주거형태,면적,층,특이사항,확인매물,거래가액,월세,태그,부동산,매물방향
2115560787,1144012200,마포구 ,SITE,월세,원룸,20,2/3,수리완료되어있는 원룸 전입가능 보증금 월세 조정가능,21.06.16.,500,40,"['15년이내', '융자금없는', '소형평수']",유명부동산공인중개사사무소,남향
2116036208,1144011200,마포구 ,MOBL,월세,원룸,25,고/35,한강조망 풀옵션원룸 상태최상 아파트커뮤니티시설이용가능 입주협의 ,21.06.21.,"2,000",75,"['10년이내', '융자금없는', '소형평수']",웰스트림마포공인중개사사무소,남서향
2115944531,1144010900,마포구 ,MOBL,월세,원룸,62,고/4,탁트인 전망 넓은 거실 옥상창고사용,21.06.21.,"1,000",90,"['융자금없는', '역세권', '소형평수', '방한개']",삼성래미안공인중개사사무소,남서향
2116235179,1144012300,마포구 ,OWNER,월세,원룸,26,-1/2,수리된 분리형구조 원룸,21.06.22.,"1,000",45,"['융자금없는', '소형평수', '방한개']",마포우리공인중개사사무소,북서향
2116236712,1144012300,마포구 ,OWNER,월세,원룸,23,2/4,초역세권 신축4년 풀옵션 남향채광굿 깔끔함,21.06.22.,500,47,"['10년이내', '융자금없는', '역세권']",금풍공인중개사,남향
2116165889,1144012700,마포구 ,OWNER,월세,원룸,23,5/5,전용넓은 풀옵션원룸 2인거주가능 누리꿈스퀘어인접 도보출퇴근,21.06.22.,"1,000",50,"['25년이내', '융자금없는', '역세권']",로얄공인중개사사무소,남서향
2116183030,1144011100,마포구 ,OWNER,월세,원룸,18,3/4,신수동 광흥창역 도보4분  풀옵션원룸 공실 하시입주,21.06.22.,500,35,"['15년이내', '융자금없는', '역세권', '화장실한개']",대신공인중개사사무소,동향
2116192263,1144011000,마포구 ,OWNER,월세,원룸,12,4/4,신촌역 5분 월세 초 저렴,21.06.22.,500,35,"['10년이내', '융자금없는', '역세권']",신촌그랑자이공인중개사사무소 ,동향
2116140882,1144012300,마포구 ,OWNER,월세,원룸,16,2/3,빠른입주 깔끔한 풀옵션원룸,21.06.22.,500,45,"['15년이내', '융자금없는', '소형평수']",마포우리공인중개사사무소,북서향
2115104004,1144012700,마포구 ,SITE,월세,원룸,20,3/5,엘베 풀옵션 넓은 원룸.,21.06.14.,"1,000",60,"['25년이내', '융자금없는', '역세권']",연일공인중개사,동향
2116147474,1144012700,마포구 ,OWNER,월세,원룸,33,4/4,즉시입주 전용넓은 분리형 풀옵션 초역세권 DMC초근접 도보출퇴근,21.06.22.,"2,000",60,"['15년이내', '융자금없는', '역세권']",로얄공인중개사사무소,동향
2116202952,1144010100,마포구 ,OWNER,월세,원룸,70,3/4,"아현역 3분, 깨끗하고 넓음 ,올수리 풀옵션,즉시입주가능, 접근성최고",21.06.22.,"1,000",60,"['25년이내', '융자금없는', '올수리', '역세권']",파트너공인중개사사무소,남향
2116124070,1144010800,마포구 ,OWNER,월세,원룸,23,저/3,풀옵션올수리ㅣ해잘드는분리형원룸ㅣ 이대도보편리ㅣ 즉시입주가능,21.06.22.,"1,000",50,"['융자금없는', '올수리', '역세권']",이대자이랜드(3274-1999)공인중개사사무소,남서향
2115371121,1144010100,마포구 ,SITE,월세,원룸,29,고/5,"아현역,충정로역5분, 베란다있는 넓은 신축원룸,주차가",21.06.14.,"1,000",75,"['융자금없는', '역세권', '소형평수']",소망공인중개사사무소,남향
2116050369,1144012300,마포구 ,OWNER,월세,원룸,19,3/4,역세권 풀옵션 동향 채광굿 깨끗함,21.06.21.,500,45,"['25년이내', '융자금없는', '소형평수', '방한개']",금풍공인중개사,남동향
2115981571,1144011000,마포구 ,NDOC1,월세,원룸,19,2/5,전세자금대출가능 즉시입주 ,21.06.21.,"2,000",30,"['25년이내', '융자금없는', '역세권']",신촌우리공인중개사사무소,남서향
2116050632,1144011100,마포구 ,OWNER,월세,원룸,20,3/5,입주협의 6.7월가능 깨끗합니다.,21.06.21.,"4,000",40,"['15년이내', '융자금없는', '역세권', '화장실한개']",현대아이파크공인중개사사무소,북서향
2116070629,1144011100,마포구 ,OWNER,월세,원룸,16,3/5,NaN,21.06.21.,"1,000",50,"['15년이내', '융자금없는', '역세권']",현대아이파크공인중개사사무소,남동향
2116070070,1144011100,마포구 ,OWNER,월세,원룸,26,4/5,역세권 풀옵션 위치좋은 다세대원룸,21.06.21.,"5,500",28,"['25년이내', '융자금없는', '역세권', '화장실한개']",현대아이파크공인중개사사무소,동향
2116054758,1144012500,마포구 ,OWNER,월세,원룸,25,3/3,역세권 옥탑방1개 부억 화장실 남향채광굿 깨끗함,21.06.21.,300,35,"['25년이내', '융자금없는', '역세권', '소형평수']",금풍공인중개사,남향
2116183111,1144011500,마포구 ,OWNER,월세,원룸,20,2/4,공실 상수역3분 2008년준공 깨끗한 풀옵션 원룸,21.06.22.,"1,000",50,"['15년이내', '융자금없는', '역세권', '화장실한개']",대신공인중개사사무소,서향
2116070841,1144011100,마포구 ,OWNER,월세,원룸,28,4/5,올수리 배렌다 있고 초 역세권 남향 먼저 선점 하세요,21.06.21.,"3,000",80,"['25년이내', '융자금없는', '올수리']",현대아이파크공인중개사사무소,남향
2116100331,1144010400,마포구 ,OWNER,월세,원룸,26,2/2,2층전체 풀옵션  남향,21.06.21.,"1,000",40,"['25년이내', '융자금없는', '역세권']",한일공인중개사,남향
2116063288,1144011100,마포구 ,OWNER,월세,원룸,28,2/4,신축후 첫 입주이며 풀옵션이며 전용넓음,21.06.21.,"1,000",70,"['2년이내', '융자금없는', '소형평수']",경기공인,동향
2116061631,1144011100,마포구 ,OWNER,월세,원룸,20,2/4,신축후 첫 입주 하는 풀옵션 원룸입니다,21.06.21.,"1,000",60,"['2년이내', '융자금없는', '소형평수']",경기공인,동향
2116097098,1144010800,마포구 ,OWNER,월세,원룸,31,2/2,"분리형의 풀옵션,방큼,2층,주차됨,대흥초역세권,날짜협의",21.06.21.,"2,000",53,"['25년이상', '융자금없는', '역세권']",자타(713-9100)공인중개사사무소,남서향
2115875509,1144010400,마포구 ,MOBL,월세,원룸,34,고/5,NaN,21.06.18.,"1,000",75,"['25년이내', '융자금없는', '역세권']",우방공인중개사사무소,남향
2115868465,1144011000,마포구 ,MOBL,월세,원룸,29,6/6,노고산동 신축급 풀옵션 복층형 원룸 채광최고  빠른입주가능,21.06.18.,"1,000",80,"['4년이내', '융자금없는', '역세권']",홍대하늘공인중개사사무소,남향
2115943055,1144010800,마포구 ,OWNER,월세,원룸,67,4/4,"대흥역 1분,풀옵션,즉시입주, 깨끗하게 도배되어있는원룸",21.06.19.,500,45,"['25년이내', '융자금없는', '역세권', '방한개']",SK온(701-3113)공인중개사사무소,남향
2115015079,1144012000,마포구 ,SITE,월세,원룸,27,4/5,망원역세권 전용넓은 풀옵션 원룸,21.06.10.,"1억 5,200",10,"['15년이내', '융자금없는', '역세권']",키움공인중개사사무소,남서향
